bin_type,threshold
ABOVE_THRESHOLD,15.55555556
ABOVE_THRESHOLD,21.11111111
ABOVE_THRESHOLD,26.66666667
ABOVE_THRESHOLD,32.22222222
ABOVE_THRESHOLD,37.77777778
ABOVE_THRESHOLD,43.33333333
BELOW_THRESHOLD,-3.888888889
BELOW_THRESHOLD,0
BELOW_THRESHOLD,4.444444444
BELOW_THRESHOLD,10
BELOW_THRESHOLD,15.55555556
BELOW_THRESHOLD,21.11111111
