month,high_temperature,low_temperature,mean_temperature,rainfall
1,21,4,12.4,64
2,22,5,13.3,58.7
3,22,6,14.1,62.7
4,24,8,15.9,22.4
5,26,11,18.2,7.1
6,29,13,21.1,2.3
7,32,14,23.5,1.3
8,33,16,24.2,1.8
9,32,14,23.1,6.6
10,28,10,19.4,12.2
11,24,5,14.9,29.7
12,22,3,12.2,35.3
